x	y
remind to download MAT admit card on 3rd december 2pm	Found
Remind me @ 11 30 to buy tissue papers	Found
I am too much worried about her health	Found
Remind me at 4 pm about tea	Found
Could you additionally remind me to pay my mobile bill.on 7th december	Found
Small help about	Not Found
Can u remind to get my bathroom cleaned by anil bhaiya every 25th of every month	Found
Can u start your reminder from 8.30am to 5 pm	Not Found
But I want you to call her n wish ..is tht possible?	Found
Already done...Thanks for the reminder	Not Found
Remind me to go for the purchase of kites at 1:30	Found
Call me at 8:30 am	Found
Pls schedule this for tomorrow 1pm..	Not Found
Now i will have to go and find ur settings tab to get rid of your disturbing notifications every hour!!!!! I would rather uninstall this app.	Found
Call hotel moriz, mysore today at 9.30 pm regarding room confirmation	Found
Remind me at six today 6pm	Not Found
Good morning. ..Thank you, nothing for now	Found
Remind me to issue cheque book on coming monday at 10:30	Found
Alarm for 7	Not Found
Deepika please set the scheduled time	Not Found
Remind me to buy kunda by tomorrow evening	Found
Remind me to go to Dr OP Garg on 29 at 8:30 am	Found
Can you please remind me to message Amy ma'am about songs and send email to christ tomorrow at 11 am? And another reminder at 5 pm?	Found
Badha reminder bandh kro	Found
Remind me about the Gina festival in Jaipur on 19th January maybe you tell me before the 19th July 17th of January	Found
Remind me on 5-01-2017 at 11:30 pm to make a caller tune for birthday	Found
I want to be reminded everyday	Not Found
I need about bus traveling	Found
I want to change the time of reminder	Not Found
can u remind me to withdraw rupees from atm	Found
Remind me to ask for my s6edge covers from my sister tomorrow morning around 8.30am	Found
Remind me take headphones from pujan	Found
Remind me to bring gift tomorrow at 11:00 AM	Found
Remind me on 5th dec at 4:30 pm to do web chk in	Found
Project reminder	Not Found
U have to just remind me for to do college work classes work etc.	Found
Remind me this week full	Not Found
Kindly remind me the loan of rupees 2000 given to Mom office colleague RAM SINGH JI	Found
Remind me on 9 pm salad	Not Found
Remind me to bring chocolate for gals at 9:30am	Found
To go you New Horizon College at 11.30am	Found
Remind me on Thursday to work on plan for Indian Angel Network	Found
Remind on monday deposit money for convocation	Found
After 30 mins reminder	Not Found
Yes please mam	Not Found
Remind me on 9.30 am amd 9.24 am	Not Found
Can u plz remind me the same tonight at 9:30 pm ?	Not Found
tomorrow i want to buy some groceries will you remind me	Found
Please do remind	Not Found
From 12th December to 17th December set a reminder at 6.00pm that I have to attend online classes	Found
You have to remind me on these days for fasting	Found
Can u put 6 alarms together in a gap of 10min	Found
Again remind me at tomorrow afternoon	Not Found
Remind me after 5 minutes to beat valiant	Found
Hi Pavani.	Found
Please remind me at 8 am and 9 am in the morning and speak a message to do a aarti booking at vaishno devi	Found
I need one more remainder can you set for me	Not Found
What if i want you u to remind me everyday of the week	Not Found
alarm plss mam	Not Found
4th jan	Not Found
Remind me to take a snapshot of the passbook for address proof at 9 pm	Found
Set the second reminder also	Not Found
y arent you calling me	Found
Can u give me this reminder regularly	Not Found
Can you explain me a little about web check in of flight	Found
Set reminder for tomorrow 11am	Not Found
Plz remind me everyday	Not Found
Set a reminder for bus booking on 22nd December and 23rd December	Found
Thanks, and sorry I called u honey. I thought its a virtual assistant. I was joking.	Not Found
Please remind me about sql paper checking around 11am	Found
11:50pm	Not Found
Hey need med reminder at 5.30 and 10.30 today	Found
Remember me calling my friend tomorrow morning	Found
Hello, please remind me to place an order for Trims... After one week exactly.	Found
Remind me at 9:30 am	Not Found
It would be a call ?	Found
Can u ring me thrice ?	Not Found
CALL SAJI BROKER AT 10AM TODAY	Found
Remind me to wish my sister on 6 th January at 11.55 pm	Found
Atit any scheduled for today?	Not Found
Can I get a SMS as reminder	Not Found
From 12 December remind me everyday	Not Found
If I set reminder here... How will I be notified?	Found
Same to u yaar	Found
Remind me at 9:30 a.m go to market and Gate coupons.	Found
And also set an alarm for 3.30 everyday except monday and tuesday	Not Found
Yaay ..thanks..I'm glad u have reminded me today without reminding u to remind me!!	Found
Remind me on 12th jan for web Checkin	Found
Why are you calling me.	Not Found
Unsubscribe this alarm	Not Found
Remind me at 4.30 about Amity	Not Found
remind me to collect metro card from abhishek today morning at 8.30 am	Found
Please remind me to arrange for Humsafar train maintenance and fuelling on every Thursday at 15:30 hrs	Found
Shall we go for a movie, varsha :p	Found
How will you remind me ??	Found
Can you remind me to talk to mom at 2:10	Found
Remind me to dinner at 10 o'clock	Found
Remind me to get doc.'s appointment at 1:00pm tomo	Found
Remind me to give papers for hyd house electricity name conversion	Found
Remind me to eat healthy	Found
I want to ask qus about my education . Whom should i ask .. please tell me	Found
Please remind me access snapdeal app tomorrow	Found
Can u please set reminder for premium payment of TATA AIA on 5 December 2016	Found
Laundry reminder today at 17.30 hrs	Found
I want you to remind me at 8 pm today	Not Found
I want call on 919168886110	Not Found
Thanks.pls remind me once in 2 hours	Not Found
Hey I want remind	Not Found
Also set same reminder for 29 December for 7 pm	Not Found
Remind me today at 8:10pm	Not Found
I have to write SOP.pleade keep reminding me that	Found
I supposed that you were calling me but its a robot	Not Found
Set alarm	Not Found
I want to know about some good n cheap mehendi designers	Found
Set a reminder at 11.59	Not Found
Remind me tomorrow morning 8.45Am for to mail RR format to Joseph	Found
Remainder for 25th january 2017 at 11:50 PM, Raju's Birthday	Found
Remind me to buy birthday card at 12 10 pm today	Found
Is it you who will be reminding me always or who ever is online will do so?	Found
Call me for gym time at 4:05 pm	Found
please schedule till 2nd jan	Not Found
Mahesh i need regular reminders for alot of my business stuff	Found
Please remind to book tickets for dear zindagi	Found
I want to keep reminder	Found
Remind me for calling the licence agent on 9nov. 9am	Found
Can u just set me a reminder for tomorrow	Not Found
N one thing Remind me for studying today at7am	Found
Its ok ...hey continue this schedule from saturaday plsss	Not Found
2643 bus remind me 6.40 pm today	Not Found
I hv already asked yesterday to set it nd it's already done	Found
Wen u I'll remind me	Not Found
Can u pls remind me to finish my study at 11 am today	Found
Please check after 5 mins about it...	Found
Remind me on Saturday	Not Found
Instead of giving a call please just send a message	Found
Can I set any reminder for till date 30.11.16	Not Found
Can you set a reminder everyday?	Not Found
I call 9629656931 number	Not Found
Remind me again at 11:30 plz!	Not Found
Remind me every hour except night 10 pm to morning 7 am	Not Found
By	Not Found
Joging remainder 6:10 pm daily	Not Found
And cancle my old reminder of night	Not Found
Remind me till 9.00pm	Not Found
Hey i want to cancle my wakeup alarm	Found
How can I know the alarm sound	Not Found
Remind me tomorrow same time	Not Found
What about Sunday	Not Found
Wished him thanks for reminding	Not Found
Please remaind me to buy dandia sticks 9pm today	Found
Remind me of sreeja every 10 th hour	Found
Can you remind me about share market	Found
Pls remind me to take my calcium	Found
Hey remind me to take copy from Divyanshu at 4:30pm today.	Found
Reminder for D3 on 6th Jan 9 PM	Found
Remind me for the question 0aper	Found
remind me to union bank today 09:30am for confirmation of Bike loan letter	Found
OK set milk reminder at 5.58 pm everyday..That's it for now..Thank u	Found
Thankz for reminding it	Not Found
Can u remind me at 10.45 to file tds	Found
Alarm on my mobile or something else	Found
Can you let me know of the alarm for tomorrow?	Found
Will u get a call?	Found
Remind me to grab things from the store at 1pm today.	Found
Call me at 4:30pm	Found
Remind me to check for sample papers	Found
Remind me that i have to study for exams	Found
Remind me at 2:48 pm today	Not Found
Reminder me every day at 9:30 To brush my teeth	Found
This reminder is to enquire for swimming classes on Sunday	Found
Or u can message me the reminder	Not Found
Call ajay morrow morning 10.11.16 @ 11	Not Found
Pls remind me on 15jan	Not Found
OK. Thank u. I called her n spoke	Found
25/12/2016	Not Found
Remind me to create a profile on dubai drydock at 10.00 pm today	Found
I am getting call	Found
Please remind me on 30th morning 9am to book tatkal train tickets in Haptik	Found
Ohk	Not Found
Hey can set my alarm for every Sunday with same time	Not Found
unset the reminder	Not Found
Please schedule a reminder for me on 10 th Jan 2017 for credit card payment	Found
Please set the other alarms as well, as mention above	Not Found
How can I remove my previous reminder ?	Not Found
I have to catch train by 2.30 at Thane by tomorrow afternoon.. kindly do remind me by 1 o clock	Found
Remind me on Monday at 7.30 for affiliate marketing session	Found
Alarm?	Found
Call Pranay on Monday at 11 am	Found
Put a reminder saying St Joseph central, 12 Dec 10 am	Not Found
Thankyou for reminding. Me .....	Found
Remember me about swathy bday tday night at 10pm	Found
Hey can u give me reminder at 8:30pm today!?	Not Found
remind me to add cost of plastic mat in drawers	Found
3 alarm set in gap of 5 mins	Not Found
Remind me of asking for exchange	Found
Please arrange for the reminder..	Not Found
Hi shraddha Just want you to remind me of my meeting with Manish from Priti-Manish On Monday the 26-12-2016 @11am	Found
I need to buy eggs remind me at 8:30	Found
Does the internet need to stay connected for the reminder to work?	Found
Remind me to web check-in on 28 December 10:40 am	Found
Please set up a reminder	Not Found
10:45 am	Not Found
Thx for reminding me about checkup of body.	Found
Set dinner time	Not Found
Reminder is to book the ticket	Found
I want to change the time of alarm	Found
How will u remind me?	Found
1 more reminder plz	Not Found
Remind me to do the eco project at 3.00 pm	Found
Remind me to meet Chirag today evening 4:00PM At Degree college	Found
Ok fine	Not Found
Can you tell me about today horoscope	Found
In about 10 mins	Not Found
Reminder on 11:35 am	Not Found
please schedule tablet reminder for me on every sunday at 11AM	Not Found
Sure pls set remember	Not Found
End all reminders.	Found
Set remainder for my mom birthday on 12 dec please	Found
Can you remind me this birthday every year	Not Found
Hey set a reminder for 5:30 pm on sun 13 November for dance practice	Found
Remind it tomorrow	Not Found
Please remind me tomorrow morning at 9 to keep hard drive in bag.	Found
Remind me to mail for gfx in an hour	Found
Is there any charge for daily remainder.	Found
Remind me to take my register from warden mam	Found
It is very important to me so please make call before the time	Not Found
Remind me for a appointment today at 3 pm	Found
Isnt this server based reminder?	Not Found
That reminder is for lunch	Found
Remaind me to fill ink in pen today 9:30pm	Found
Reminder for walking everyday at 05:00 PM.	Found
Reminders for par days	Not Found
dvd,fan,ticket book,garden,call rekha,iron,recharge,	Found
I want u to reminder me from 10 pm to 8 am	Not Found
Thanks for the reminder. It really helped me to reach my office on time	Found
Now once call me	Not Found
next Wednesday	Not Found
Hey,can you remind me Bathing time ?	Not Found
Remind me to press today at 10pm	Found
Remind me to start Studying at 4	Found
Remind me today 11.30 am for attached adhar card in idbi bank	Found
U sending me notification after half an hour i schduled to remind after after 1 hr.	Found
Please set a reminder for fruits	Found
I dnt remember last time...there wer some people who called me ..as they come home to pick	Found
Tomorrow by 10.30 I have an appointment can you please remind me on time	Not Found
Sorry set it at 10.50 AM	Not Found
wanna set reminders	Not Found
Remind me to book my tickets on 27 november	Found
I have to book a movie ticket from Paytm with referral code please remind me in next 3 days	Found
Please remind me that I need a signature of my dad today On some documents By 8:30 pm	Found
Can you please remind me for my morning exercise daily	Found
Can u set a reminder for 11:59 pm today	Not Found
Please set the reminder to one hour	Not Found
2 call pravin dental at 4.15pm today	Found
i need reminder	Not Found
Remind me about xamarin classes tomorrow at 9 AM	Found
Remind me to sleep	Found
Remind me to upload record problem 8 at around 7 pm	Found
At 1pm today remind me to take the print out	Found
Remind me to take the cheque at 9am tomorrow.	Found
I want to deleate that reminder	Not Found
Set reminder at 7	Not Found
I will tell u when I'll need it	Not Found
Sorry pls call me on morning 6.30 am	Not Found
I dnt want to unfollow this reminder	Not Found
How will you send the reminder?	Found
I want to change that reminder	Not Found
Everyday remind me like this.	Not Found
24th November 11am and 11:30am Call the person to ask reporting time and place	Found
Thanks and j have set so many alaems so that if i miss one icanget another	Found
remind me 8:00 am	Not Found
Set reminder for breakfast	Found
Canel my alarm at 2am	Found
Thanks a lot for remainder	Not Found
Can you remind me about my girlfriends monthly cycle. It started today.	Found
Can you set a reminder	Not Found
Remind of some more this	Found
Chenged the earlier reminder of 3rd feb for birthday	Found
set up a general reminder	Not Found
Please Remind me to book a bus by 11AM today	Found
I need another alarm at 630am	Found
Reminder on 19 th	Not Found
Hey! Thanks for the reminder. :)	Not Found
Remind me to research about Getnatty.com	Found
Can u make me remember to go gym	Found
need to fix an alarm for meeting on monday 3 30	Found
I just got a msg about how much I can withdraw etc	Found
Can u set an alarm for 7.30?	Not Found
Reminder me to search colleges for pallavi	Found
Can I be reminded at 9.00am?	Not Found
Ya remind me at 11 that I have to do my abs workout	Found
U said u will call	Found
Please give reminder after 3 hour	Not Found
Can you remind me to pay the rent on 19th and 20th of every month	Found
Remind me to wish Bavagaru on 24th of this month for his day	Found
Yes dear I called him	Not Found
I called him	Not Found
I need a remainder	Not Found
I am busy	Not Found
Can I put this alarm clock for every day	Not Found
Remind me to delete note tomm by 10:00	Found
Tq fr remember me	Not Found
Its my daily remainder	Not Found
Tell me about the status of rupee to world	Found
You will remind me daily or only today	Not Found
Please remind me 5 min before	Not Found
Babu needs to bring Fevicol colours and crayon on tuesday. Remind me on Monday 9 pm	Found
I need a reminder of somone	Not Found
REMIND ME ABOUt BREXIT... AT 3 PM TODAY	Found
hi. please remind me that Maya is coming on 2 December. Please remind me on 26 nov (saturday) at 12 pm	Found
Reminder to" take wallet and home key before leaving "	Found
Thanx for reminder swapnil	Not Found
Everyday u will remind me?	Not Found
Thanku fr reminding the whole day :)	Not Found
Dimpi house pooja on 5th Jan - lunch - pls remind on 4th evening.	Found
Remind me to make a c v at 7 30 pm	Found
I have to go home at 7p.m. Remember me	Found
Hi set one more reminder	Not Found
Call Asim khan on Sunday at 3. PM	Found
Thank you for reminding me its enough	Not Found
Yes remind me daily	Not Found
remind me to study	Found
Set an alarm of 8:15am dated 29 dec	Not Found
are u sure about it?	Not Found
Can I edit the reminder?	Not Found
Remind a task	Not Found
Want to know if details about Tamil Professors in Salem	Found
Now I can remind stuff on my own	Found
Remind nagman catalogue	Not Found
Remind me once @ 10.30 i have to visit courier office	Found
Reminder for coming Saturday.... Rath yatra	Found
I want to edit my to do	Not Found
I want review about gems b school	Found
Date 28th this month ratan remainder me	Not Found
Can you remind me to add roles in the morning at 8 am	Found
Remind me about it 1 day before	Not Found
Late remainder	Not Found
Hi yes sure tq	Not Found
Remind me at12pm to text Akshay Nambiar	Found
Same reminder for Tomorrow!	Not Found
i dond need the calls today	Not Found
Remind me in 5 min	Not Found
Will the call be automated ?	Not Found
Plz remind me to to go in shree jalaram medical at tomorrow 10.30 am	Found
Sure but i m bussy right now	Not Found
Remind me to exercise at 8:00 am every day	Found
Please deactivate this reminder for me	Not Found
Reminder name	Not Found
Can u send sms as well of the reminder	Not Found
Remind me to put imp doc in my bag	Found
Another reminder at 6:30am	Found
Actually I already created this reminder	Not Found
Remind me to get my bag @ 7 pm today	Found
Ok, thanks for reminding..	Not Found
Tomrrow remind me to go out at 5 pm for some work	Found
Reminder at 4 for management hour	Not Found
Add another reminder	Found
Can I have a reminder set to purchase a shoe polish .	Found
Let that alarm be discontinued for now	Not Found
I wanna know about this job what you do in haptik ?	Found
Hey remind me that our regional manager's visit o. 11th jan	Not Found
Annu kalyanam kazhichilla..... Remind me at 7 30 pm	Found
Remind me at 5.10 today about the holiday	Not Found
Unrill i woke up.call me	Not Found
Need a reminder at 7 :15 today	Not Found
What was the reminder?	Not Found
Which remainder are you giving me ?	Found
Time is 12:02pm lately comes reminder	Found
Please surrender of all my alarm requests.	Found
Remind me of Deybakshi ... At 6 30 pm and 10 am 2morrow	Found
18 December lubna birthday	Not Found
I need to set one to do list for tomorrow	Not Found
You can schedule it from tomorrow.	Not Found
Thank you I remember now	Not Found
My reminder	Not Found
Plz remind it for costing	Found
Fr the reminder	Not Found
Can u send me .. birthday wish list.. reminders.	Found
I want you to remind me about something	Found
U can call me ammu	Not Found
Please create a reminder	Not Found
Reminder to collect my passbook from bank tomorrow 9 am	Found
Thanks for the reminder :)	Not Found
Can call me	Not Found
I have to set a reminder	Not Found
Yes you can schedule it for everyday but starting from the 6th. I'll be at a conference till the 5th.	Not Found
Hey shud i increase the alarm volume??	Found
Can I know what topic of reminder u set and to which number.	Found
Hello shraddha! Can you tell me how many remainders have been saved for me tomorrow?	Found
Can you remind someone on behalf of me ??	Not Found
Now can you inform me about my active reminders mm	Not Found
Call every 5minute till 3:30am on 22 Nov	Found
PleaSe put a reminder today for 11 45	Found
Why do i get a good morning call at 10.30 pm these days?	Not Found
remind me today at 6 pm to watch tensport .	Found
Hii remind me to watch TV at 7.30	Found
Remind me to tune on channel 166 at 6:25 pm today	Found
Please remind me to put my towel in my bag at 7pm Today.	Found
Remind me to transfer money	Found
Study reminder	Not Found
Remind me to transfer amount to my friends account today night itself	Found
the reminder for 24 is saumik s post cheque	Found
Set alarm for 10:30 Am for today's date	Not Found
Can you change my reminder time to 1:58	Not Found
Yaaaa so kindly remind me	Not Found
remind me about my friend's marriage. it's on 1st Dec.	Found
Call me at 5.00 am	Found
And one reminder	Not Found
Call i wld like by 1pm!!	Found
Remind me to order coffee today 1pm	Found
Remind me to go to CA at 6 pm today	Found
can you remind me about me to study at 6:30 pm today	Found
Remind me to wash my socks tomorrow	Found
Remind me to study physiology tomorrow at 4 pm	Found
remind me to talk to rajat at morning 10am	Found
But what abt the details... What type of reminder is it?	Found
Plzzz set alarm for 9:15	Not Found
Remind me for Dr. Kavthale appointment on 12 January	Found
Remind me to send price list to Niky techno zone tomorrow at 11.45am	Found
Horoscope reminder of Capricorn everyday at 9am	Found
Remind me on 6:30 pm to carry my pills in my backpack	Found
Hi can you remind me to pick up my clothes from the laundry today b evening	Found
Alarm for 5pm today	Not Found
I need a reminder at 10am	Not Found
Can u remind me on 6:17 pm today ?	Not Found
Plz remind meri today call at 9:30pm	Not Found
Hey I need to set a reminder	Not Found
Remind me tomorrow to give Adira diary	Found
Remind me for a cab tomorrow at 11am	Found
Call me now	Not Found
Please deactivate the above reminder	Not Found
Hi.. Remind me about uploading document and charging my mobile	Found
Remind me tomorrow at 10 am	Not Found
Please remind me tomorrow , need to place orders for my brand bare leisure. Official work.	Found
I need second reminder	Not Found
Remind me to edit calendar arts ilaksha	Found
Tomorrow at 2 pm reminder	Not Found
Set my alarm by 9pm	Not Found
One more reminder i want	Not Found
Remind today at 6 pm	Not Found
Can you remind me at 11.45 am that I have 3 classes and I have to pack my bags today	Found
How will u remind me ??	Found
One minute i want to set	Not Found
presentation done please remind me for the next task	Found
Just remind ne after 8 minutes	Not Found
I wana set one more reminder..	Not Found
Rudra Pooja tomorrow at 5pm , please remind	Found
I want cloths for my ring ceremony	Not Found
Remind me to have my sex pills	Found
remind me on 4th on second month to do hair spa time will be 6Pm.	Found
Remind me today at 6pm about citibank credit card payment	Found
U only call when I m online	Found
plz remind me to take my pen card 2moro	Found
Remind me on November 14 evening 6.00pm ...on that day I have to see the moon....okay	Found
Actually there is a slight change in that reminder	Found
Remind me to make entry in passbook, get files home visit exhibition	Found
Remind me to research about new Zealand	Found
Remind me abt RTI at 7 PM	Found
A reminder for workout as well	Found
Kamalesh please set alarm today morning 9.30 am to 10.00 am ... every 5 minutes in between ☺☺	Not Found
7568721088	Not Found
26th of this month I have ESD third internal .. Plz remind me before two days till 26th everyday..	Found
Call me 10mins before i reach porur tollbooth	Not Found
Remind me at 8:00 pm today for Watching News	Found
Remind me to make a collage of my previous pics and frame it down !! Also one full size pic with my recent picture !! Remind this at 14.00 hrs 2 Jan 2017	Found
Tomorrow plz remind me to go to colg for a session ...by 9:00am	Found
U remember me	Not Found
Hi Shruti.... How would you remind me... In ways of alarm?!	Not Found
Set for me	Not Found
Can u remind me to walk / move every 30 min	Found
Make me reminder	Not Found
Remind me tomorrow at 4.0pm to make my daily time table	Found
Call me at 5:00 pm sharp	Not Found
Hello I want to make a reminder	Not Found
That reminder was for what?	Found
Do i have any reminder from now?	Not Found
You gotta remind me at 11.55	Not Found
Can you set reminder for 26 Dec for mobile recharge validity expire	Found
What tym did u remind me	Not Found
Reminder to book a ticket on Saturday	Found
A reminder on 26th to pay insurance premium	Found
Does the reminder works only when the net is on??	Found
Remind me in about 15 minutes to book a tatkal ticket	Found
Remind me in 5 min for going at shop	Found
Remind me to prepare of AIIMS counselling which is tomorrow.	Found
Also remind me to cut nails before meeting	Found
Remind me on 10 th Jan at 11 am Have to go to pune passport office	Found
I want a reminder scheduled for 08:00AM everyday.	Not Found
Thank u for ur unstoppable reminders.	Found
I am with him thank you for reminding	Found
Is it possible to blow alarm during reminder?	Found
Hi good morning.Thanks for reminding me..	Not Found
Morning. Sure, give me 15mins	Found
Remind me at six pm today to meet my manager	Found
I wanna set a reminder	Not Found
Can u tell me my whole schedule	Not Found
Can u plz remind me the same on 14th dec at 11 pm	Found
Are srijan yar reminder to read book kidhar hai	Found
You haven't reminded me	Not Found
4:00 pm	Not Found
Remind me this at this time day after tomorrow	Not Found
Yesterday igave	Not Found
Please remind me to give Supriya's treatment to VC at 12 pm today	Found
set a reminder	Not Found
Hi please please please remind me on 4:24pm on today	Not Found
Set reminder for every day.	Not Found
Nalaiku 8ku ..plz remind me	Not Found
Thank you ..	Not Found
Set one reminder for goto market for buy shoes....	Found
Remind me to complete saon's album	Found
Please set the reminder for 8 glasses per day	Found
Set a reminder "All the best sruthi" Today at this number 8870086265 at 6:30 am	Found
Remind me by 10pm today to download "Baptized workers on a sacred mission"	Found
Also remind me fr class at 830	Found
Remind me only tomorrow sharp at 8.15am about anurup s oshud	Found
Remind me the same tomorrow 1 pm	Not Found
I will do it after one hour. Please remind me at 11 PM today.	Not Found
24 dec 12 noon remind maya about doctor	Found
Please remind me to go for dr. Fakhruddin daughter marriage at 8pm today.	Found
Set reminder to pay yoga fees at 4.15 pm	Found
remind me to take photocopy of govt id proofs	Found
You'd already reminded! Its past 9 now	Not Found
Thnx for remainder	Not Found
Remind me every 3 hours	Not Found
You need to schedule my daily needs for about a month	Found
Ab ye reminder band kaise karu?	Found
Reminder in saturday 9.3 for bliss	Found
Remind me after 30 mintues	Not Found
3pm	Not Found
Set one more alarm	Not Found
Iam going to rajahmundri. May i known details about rajahmundri	Found
What reminder	Not Found
set this from tomorrow	Not Found
Thankyou for reminding 😊😊	Not Found
Can u remind to me when I'm offline	Not Found
Name: Mahesh Date: December 4, 2016 Time: 10 29 AM	Not Found
Awesome! It's on me to remind you about Submitting your aadhar card copy to Gas Distributor 10:00 AM on Mon, 28 November!	Found
Remind me to wish Papa tomorrow at 9.00 am	Found
Hope I won't have to remind u guys again and again	Found
9 dec	Not Found
Please remind Sunday i will go temple	Found
Reminder to pack my bags for a tour at 8 am today	Found
Reminder shoukd be for jgls roundtable	Found
set alarm at 4:15 am today	Not Found
I have to revise my last week chapters before 12PM tomorrow. Can you please set a deadline on 10PM Shraddha?	Found
I am starting to rely on you to schedule my candidates	Found
I have to remind my boss to go to faridabad in marriage function on 12th December	Found
Thanks for reminding again	Found
Where is the call	Found
Pls set 5 alarms on 5 mins gap	Found
Can you also put a alarm for 6 tomorrow in the morning	Not Found
Remind me to take some delivery at 8:00 pm tomorrow	Found
Set a reminder to go to the dentist at 6:00pm	Found
Remember me the following birthdays dates Madhavi on November 9 Kiran on august 12 Honey on may 17	Found
Once again remind me at 22:22	Not Found
Meet up with pj sir tomorrow by 8pm could you just remind me to cash him by 5pm tomorrow	Found
Please turn of the alarm	Not Found
Sat 24th remind me around 4pm for an event ..thanks	Not Found
Reminder is 30 minutes late	Found
Remind me to see the doctor at 5 pm	Found
Will you set alarm also?	Not Found
Pick bags from repair shop on 6th Dec 2016 at 2 pm	Found
Set alarm please	Not Found
Remind me today at 9 to plan up for my work	Found
Please remind me to attend to my patient and throat pack?	Found
Can you close reminder	Not Found
I want daily reminder of the same	Not Found
Rohith birthday remainder time 05:15 AM	Not Found
Remind me every one hour	Not Found
Take towel 7.30 pm today reminder pls	Found
Can u set reminder for 1430	Not Found
Name munno 4/2/2017 Morning 8 A.M.	Not Found
10am reminder tomorrow please	Not Found
Your call is 5 min.late	Found
Yes please do it	Not Found
And what about banks? Are they working today?	Found
Will you remind me only when i am online or even when i am offline to	Not Found
Thanks for call	Found
Remind me to apply for TGC	Found
Yes u can brother	Not Found
Remind me about the certificate submission tomorrow	Found
I was hoping you would remind me to wish my friend a happy birthday tomorrow at 3 am	Found
Remind me to change my toothbrush every 3 months starting from today	Found
Remind to maintain 3249 in canara bank account on 04-01-2017	Found
Remind me to take /Biryani tommorow	Found
Please note my second reminder for tomorrow at 1 am	Not Found
I just want to get reminded at 11.30 pm on Wednesday 11 Feb to change my idea bill plan	Found
tommorrow at 12 o clock remind me for things like- pen put pass book in bag take condoms take doir keys take brush toothpaste facewash n kit	Found
